WeekEndDate,Variant,CasesDeath,Number
5/8/2021,All,Cases,283444
5/8/2021,All,Deaths,4503
5/8/2021,B11529,Cases,0
5/8/2021,B11529,Deaths,0
5/8/2021,B16172,Cases,5010
5/8/2021,B16172,Deaths,80
5/8/2021,BA11,Cases,0
5/8/2021,BA11,Deaths,0
5/8/2021,BA2,Cases,0
5/8/2021,BA2,Deaths,0
5/8/2021,BA2121,Cases,0
5/8/2021,BA2121,Deaths,0
5/8/2021,BA4,Cases,0
5/8/2021,BA4,Deaths,0
5/8/2021,BA5,Cases,0
5/8/2021,BA5,Deaths,0
5/8/2021,Other,Cases,278434
5/8/2021,Other,Deaths,4423
5/15/2021,All,Cases,227430
5/15/2021,All,Deaths,3865
5/15/2021,B11529,Cases,0
5/15/2021,B11529,Deaths,0
5/15/2021,B16172,Cases,5504
5/15/2021,B16172,Deaths,94
5/15/2021,BA11,Cases,55
5/15/2021,BA11,Deaths,1
5/15/2021,BA2,Cases,0
5/15/2021,BA2,Deaths,0
5/15/2021,BA2121,Cases,0
5/15/2021,BA2121,Deaths,0
5/15/2021,BA4,Cases,0
5/15/2021,BA4,Deaths,0
5/15/2021,BA5,Cases,0
5/15/2021,BA5,Deaths,0
5/15/2021,Other,Cases,221871
5/15/2021,Other,Deaths,3771
5/22/2021,All,Cases,175253
5/22/2021,All,Deaths,3625
5/22/2021,B11529,Cases,45
5/22/2021,B11529,Deaths,1
5/22/2021,B16172,Cases,6884
5/22/2021,B16172,Deaths,142
5/22/2021,BA11,Cases,45
5/22/2021,BA11,Deaths,1
5/22/2021,BA2,Cases,0
5/22/2021,BA2,Deaths,0
5/22/2021,BA2121,Cases,0
5/22/2021,BA2121,Deaths,0
5/22/2021,BA4,Cases,0
5/22/2021,BA4,Deaths,0
5/22/2021,BA5,Cases,0
5/22/2021,BA5,Deaths,0
5/22/2021,Other,Cases,168279
5/22/2021,Other,Deaths,3481
5/29/2021,All,Cases,142176
5/29/2021,All,Deaths,3243
5/29/2021,B11529,Cases,33
5/29/2021,B11529,Deaths,1
5/29/2021,B16172,Cases,10291
5/29/2021,B16172,Deaths,235
5/29/2021,BA11,Cases,33
5/29/2021,BA11,Deaths,1
5/29/2021,BA2,Cases,0
5/29/2021,BA2,Deaths,0
5/29/2021,BA2121,Cases,0
5/29/2021,BA2121,Deaths,0
5/29/2021,BA4,Cases,0
5/29/2021,BA4,Deaths,0
5/29/2021,BA5,Cases,0
5/29/2021,BA5,Deaths,0
5/29/2021,Other,Cases,131820
5/29/2021,Other,Deaths,3007
6/5/2021,All,Cases,98979
6/5/2021,All,Deaths,2777
6/5/2021,B11529,Cases,0
6/5/2021,B11529,Deaths,0
6/5/2021,B16172,Cases,14093
6/5/2021,B16172,Deaths,395
6/5/2021,BA11,Cases,58
6/5/2021,BA11,Deaths,2
6/5/2021,BA2,Cases,0
6/5/2021,BA2,Deaths,0
6/5/2021,BA2121,Cases,0
6/5/2021,BA2121,Deaths,0
6/5/2021,BA4,Cases,0
6/5/2021,BA4,Deaths,0
6/5/2021,BA5,Cases,0
6/5/2021,BA5,Deaths,0
6/5/2021,Other,Cases,84828
6/5/2021,Other,Deaths,2380
6/12/2021,All,Cases,97303
6/12/2021,All,Deaths,2440
6/12/2021,B11529,Cases,0
6/12/2021,B11529,Deaths,0
6/12/2021,B16172,Cases,25290
6/12/2021,B16172,Deaths,634
6/12/2021,BA11,Cases,0
6/12/2021,BA11,Deaths,0
6/12/2021,BA2,Cases,0
6/12/2021,BA2,Deaths,0
6/12/2021,BA2121,Cases,0
6/12/2021,BA2121,Deaths,0
6/12/2021,BA4,Cases,0
